timestamp,frame,face_detected,face_score,face_latency_ms,emotion_latency_ms,total_latency_ms,predicted_emotion,pipeline_fps
1787848332.5176437,93,1,0.69140625,53.09724807739258,7.459163665771484,66.07747077941895,neutral,15.78259873224069
1787848332.584418,94,1,0.69140625,53.39932441711426,7.635354995727539,66.54787063598633,neutral,15.71577663682276
1787848332.650867,95,1,0.69140625,53.37858200073242,7.499456405639648,66.27082824707031,neutral,15.720231641100966
1787848332.7174459,96,1,0.83203125,53.12776565551758,7.616758346557617,66.35260581970215,neutral,15.724237213580198
1787848332.7840095,97,1,0.69140625,53.369760513305664,7.535696029663086,66.38979911804199,neutral,15.728657694739907
1787848332.8503783,98,1,0.69140625,53.13849449157715,7.554531097412109,66.18785858154297,neutral,15.665338325991957
1787848332.9171379,99,1,0.69140625,53.37238311767578,7.724285125732422,66.58196449279785,neutral,15.598809161497709
1787848332.9846218,100,1,0.69140625,53.79629135131836,7.955789566040039,67.31271743774414,neutral,15.529286664762774
1787848333.0512376,101,1,0.69140625,53.26437950134277,7.56525993347168,66.43104553222656,neutral,15.539203512381002
1787848333.1175742,102,1,0.69140625,53.18284034729004,7.468700408935547,66.15543365478516,neutral,15.475351060357365
1787848333.1839278,103,1,0.69140625,53.168296813964844,7.463693618774414,66.17093086242676,neutral,15.41160215276467
1787848333.2504203,104,1,0.69140625,53.30014228820801,7.47990608215332,66.31183624267578,neutral,15.413873293473968
1787848333.3170586,105,1,0.69140625,53.30395698547363,7.612705230712891,66.45488739013672,neutral,15.355868611521021
1787848333.4044178,106,1,0.69140625,53.42411994934082,7.604360580444336,66.6806697845459,neutral,15.28968462177238
1787848333.4714026,107,1,0.69140625,53.580284118652344,7.671356201171875,66.84637069702148,neutral,15.290058063256298
1787848333.5379872,108,1,0.69140625,53.39312553405762,7.588386535644531,66.43939018249512,neutral,15.224540247853328
1787848333.6048787,109,1,0.69140625,53.64251136779785,7.527828216552734,66.74361228942871,neutral,15.154702982966949
1787848333.6716757,110,1,0.69140625,53.70759963989258,7.424354553222656,66.64586067199707,neutral,15.090996358130809
1787848333.7383254,111,1,0.69140625,53.44653129577637,7.581472396850586,66.50042533874512,neutral,15.093083461868737
1787848333.8059468,112,1,0.69140625,54.20112609863281,7.6141357421875,67.47865676879883,neutral,15.086840161945766
1787848333.8732357,113,1,0.69140625,53.688764572143555,7.670164108276367,67.11530685424805,neutral,15.08663394975587
1787848333.9410784,114,1,0.69140625,54.29697036743164,7.5855255126953125,67.66438484191895,neutral,15.079674881709472
1787848334.0143285,115,1,0.69140625,54.616451263427734,12.018918991088867,73.06933403015137,neutral,15.030278763870077
1787848334.0817473,116,1,0.69140625,53.687334060668945,7.500171661376953,67.14701652526855,neutral,15.025425662670326
1787848334.1481757,117,1,0.83203125,53.339242935180664,7.467031478881836,66.27821922302246,neutral,15.026071604753398
1787848334.21533,118,1,0.69140625,53.96103858947754,7.656335830688477,67.01087951660156,neutral,15.020633072244104
1787848334.282102,119,1,0.83203125,53.598880767822266,7.559299468994141,66.62774085998535,neutral,14.9538137483114
1787848334.3487754,120,1,0.69140625,53.59220504760742,7.519245147705078,66.52116775512695,neutral,14.956106616402957
1787848334.4386148,121,1,0.83203125,53.27153205871582,7.407426834106445,66.26653671264648,neutral,14.966103910423024
1787848334.5052488,122,1,0.69140625,53.27248573303223,7.63702392578125,66.4215087890625,neutral,14.96481525287242
1787848334.5720673,123,1,0.69140625,53.6503791809082,7.56525993347168,66.63680076599121,neutral,14.960641099402581
1787848334.6386416,124,1,0.69140625,53.23934555053711,7.500648498535156,66.37072563171387,neutral,14.961962840612067
1787848334.7053983,125,1,0.69140625,53.301095962524414,7.627725601196289,66.55216217041016,neutral,14.959863818276627
1787848334.7724364,126,1,0.69140625,53.74717712402344,7.578611373901367,66.86758995056152,neutral,14.95602306545585
1787848334.8399487,127,1,0.83203125,53.49254608154297,7.633686065673828,67.33560562133789,neutral,14.94897437295665
1787848334.906076,128,1,0.69140625,52.93583869934082,7.51042366027832,65.94681739807129,neutral,14.950770119162618
1787848334.9737675,129,1,0.69140625,54.23164367675781,7.513284683227539,67.48414039611816,neutral,14.944051161910181
1787848335.0416255,130,1,0.69140625,54.598331451416016,7.49516487121582,67.63219833374023,neutral,14.941673274867675
1787848335.109526,131,1,0.69140625,54.54587936401367,7.539033889770508,67.7042007446289,neutral,14.932204729399217
1787848335.1766787,132,1,0.69140625,53.993940353393555,7.391452789306641,66.96939468383789,neutral,14.926157529654425
1787848335.2438264,133,1,0.69140625,53.85899543762207,7.552146911621094,66.95151329040527,neutral,14.9203629101587
1787848335.3104613,134,1,0.83203125,53.56025695800781,7.372617721557617,66.44582748413086,neutral,14.919368684449411
1787848335.377703,135,1,0.83203125,53.24387550354004,7.873773574829102,67.00015068054199,neutral,14.915324153641597
1787848335.462409,136,1,0.69140625,53.59363555908203,7.680654525756836,66.9717788696289,neutral,14.913165728231698
1787848335.5276775,137,1,0.69140625,52.54387855529785,7.395267486572266,65.12165069580078,neutral,14.925962768697085
1787848335.59328,138,1,0.83203125,52.63209342956543,7.593870162963867,65.43540954589844,neutral,14.933422201049678
1787848335.6588562,139,1,0.83203125,52.66928672790527,7.556438446044922,65.40822982788086,neutral,14.943355462907608
1787848335.7243447,140,1,0.69140625,52.501678466796875,7.571220397949219,65.34409523010254,neutral,14.953051392130146
1787848335.7897546,141,1,0.69140625,52.54673957824707,7.568359375,65.25158882141113,neutral,14.962364923966444
1787848335.8549569,142,1,0.83203125,52.295684814453125,7.559537887573242,65.03438949584961,neutral,14.980627316816708
1787848335.920491,143,1,0.83203125,52.678585052490234,7.498264312744141,65.37055969238281,neutral,14.993690523201597
1787848335.9867845,144,1,0.69140625,53.12395095825195,7.6961517333984375,66.12825393676758,neutral,15.005210659343083
1787848336.0529816,145,1,0.83203125,53.13420295715332,7.569074630737305,66.01595878601074,neutral,15.058335151364073
1787848336.1186428,146,1,0.83203125,52.636146545410156,7.480621337890625,65.49978256225586,neutral,15.07079598744886
1787848336.1843567,147,1,0.83203125,52.59442329406738,7.581472396850586,65.54317474365234,neutral,15.076363037718489
1787848336.2500541,148,1,0.69140625,52.50835418701172,7.580995559692383,65.53530693054199,neutral,15.087551094553552
1787848336.3158493,149,1,0.83203125,52.62303352355957,7.537841796875,65.63782691955566,neutral,15.095066111405558
