timestamp,frame,face_detected,recentering,cx,cy,target_yaw_deg,target_pitch_deg,commanded_yaw_deg,commanded_pitch_deg
1787843788.7171533,201,1,0,0.6348481774330139,0.2727277874946594,-16.343512467425306,7.999957591981826,-16.343512467425306,7.999957591981826
1787843788.8056664,202,1,0,0.6339290738105774,0.2767849862575531,-16.23211769889305,7.999957591981826,-16.23211769889305,7.999957591981826
1787843788.8491054,203,0,0,,,,,-16.23211769889305,7.999957591981826
1787843788.9166858,204,1,0,0.6272722482681274,0.2916676700115204,-15.42531472003521,7.999957591981826,-15.42531472003521,7.999957591981826
1787843788.9863336,205,1,0,0.619696319103241,0.29924362897872925,-14.507116972645118,7.999957591981826,-14.507116972645118,7.999957591981826
1787843789.0496402,206,1,0,0.619696319103241,0.30454444885253906,-14.507116972645118,7.999957591981826,-14.507116972645118,7.999957591981826
1787843789.1175618,207,0,0,,,,,-14.507116972645118,7.999957591981826
1787843789.1854858,208,1,0,0.608672559261322,0.31275543570518494,-13.171044362366029,7.999957591981826,-13.171044362366029,7.999957591981826
1787843789.2509043,209,1,0,0.5989803075790405,0.31581658124923706,-11.99634968556567,7.999957591981826,-11.99634968556567,7.999957591981826
1787843789.3156025,210,0,0,,,,,-11.99634968556567,7.999957591981826
1787843789.3842192,211,0,0,,,,,-11.99634968556567,7.999957591981826
1787843789.451507,212,1,0,0.6035720109939575,0.3219388425350189,-12.552861189369226,7.999957591981826,-12.552861189369226,7.999957591981826
1787843789.5143256,213,1,0,0.6051025986671448,0.32499998807907104,-12.738367431985294,7.999957591981826,-12.738367431985294,7.999957591981826
1787843789.5871687,214,0,0,,,,,-12.738367431985294,7.999957591981826
1787843789.6498272,215,1,0,0.608672559261322,0.3219388425350189,-13.171044362366029,7.999957591981826,-13.171044362366029,7.999957591981826
1787843789.7133412,216,1,0,0.608672559261322,0.3219388425350189,-13.171044362366029,7.999957591981826,-13.171044362366029,7.999957591981826
1787843789.7847378,217,1,0,0.597449779510498,0.32499998807907104,-11.810850666994254,7.999957591981826,-11.810850666994254,7.999957591981826
1787843789.8493192,218,1,0,0.6005108952522278,0.32806113362312317,-12.18185592818174,7.999957591981826,-12.18185592818174,7.999957591981826
1787843789.9147222,219,1,0,0.615816593170166,0.32806113362312317,-14.036896682208475,7.999957591981826,-14.036896682208475,7.999957591981826
1787843789.9860713,220,1,0,0.6142860054969788,0.32806113362312317,-13.851390439592405,7.999957591981826,-13.851390439592405,7.999957591981826
1787843790.0497255,221,0,0,,,,,-13.851390439592405,7.999957591981826
1787843790.1158366,222,1,0,0.6367357969284058,0.32806113362312317,-16.57229073750624,7.999957591981826,-16.57229073750624,7.999957591981826
1787843790.1836593,223,1,0,0.638775110244751,0.3341834247112274,-16.81945420122625,7.999957591981826,-16.81945420122625,7.999957591981826
1787843790.2468424,224,1,0,0.647958517074585,0.33724454045295715,-17.93247720883336,7.999957591981826,-17.93247720883336,7.999957591981826
1787843790.3165689,225,0,0,,,,,-17.93247720883336,7.999957591981826
1787843790.3860652,226,0,0,,,,,-17.93247720883336,7.999957591981826
1787843790.4476364,227,0,0,,,,,-17.93247720883336,7.999957591981826
1787843790.5132182,228,1,0,0.6673471927642822,0.3505108952522278,-20.28237224555971,7.999957591981826,-20.28237224555971,7.999957591981826
1787843790.585304,229,0,0,,,,,-20.28237224555971,7.999957591981826
